,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Machachi,EC,-0.5,-78.5667,47.75,98,100,1.79,light rain
161,Yola,NG,9.2,12.4833,84.54,50,100,4.92,overcast clouds
162,Atar,MR,20.5169,-13.0499,74.39,20,4,8.68,clear sky
163,Kupang,ID,-10.1667,123.5833,87.42,64,36,12.48,scattered clouds
164,Cururupu,BR,-1.8283,-44.8683,75.09,95,86,2.42,overcast clouds
165,Mount Isa,AU,-20.7333,139.5,92.97,21,40,9.22,scattered clouds
166,Port Hardy,CA,50.6996,-127.4199,48.38,61,100,8.05,light intensity shower rain
167,Nadym,RU,65.5333,72.5167,13.71,89,100,24.29,light snow
168,Norman Wells,CA,65.282,-126.8329,35.64,21,0,3.44,clear sky
169,Albion,US,42.2431,-84.753,50.32,66,100,10.36,drizzle
170,Christchurch,NZ,-43.5333,172.6333,79.0,36,40,17.27,scattered clouds
171,Gornyak,RU,50.9942,81.4661,60.37,51,100,20.69,overcast clouds
172,Ancud,CL,-41.8697,-73.8203,54.23,94,100,22.28,moderate rain
173,Isabela,PH,6.7085,121.9711,86.05,72,100,5.88,overcast clouds
174,Char Bhadrasan,BD,23.3167,90.2167,89.62,55,13,6.04,few clouds
175,Boddam,GB,57.4667,-1.7833,39.43,83,64,8.19,broken clouds
176,Anda,CN,46.4,125.3167,60.78,42,100,12.97,light rain
177,Manjacaze,MZ,-24.7117,33.8828,69.22,85,100,3.58,overcast clouds
178,Kirakira,SB,-10.4544,161.9205,84.11,73,89,7.02,overcast clouds
179,Pevek,RU,69.7008,170.3133,29.03,79,100,0.29,overcast clouds
180,Wollongong,AU,-34.4333,150.8833,67.98,74,59,13.09,broken clouds
181,Godda,IN,24.8333,87.2167,91.99,48,33,9.15,scattered clouds
182,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,41,0,14.97,clear sky
183,Rafraf,TN,37.1904,10.1837,57.51,92,100,13.58,light rain
184,Lorengau,PG,-2.0226,147.2712,85.69,65,24,10.6,few clouds
185,Victoria,HK,22.2855,114.1577,81.97,77,88,10.0,overcast clouds
